product_id,seller_id,product_name,category,subcategory,brand,unit_price,cost_price,stock_quantity,product_status,created_date,_dq_issue
P002641,S00967,Herbal Face Wash (New Edition),Beauty & Personal Care,Makeup,Generic,662.49,556.59,907,Discontinued,2021-04-05,
P006570,S05903,Running Track Pants - Pack of 2,Sports & Fitness,Yoga,Yonex,8036.99,5714.9,252,Active,2019-12-13,invalid_seller_id
P007368,S00193,Board Game Family Pack (New Edition),Toys,Action Figures,LEGO,1603.75,1360.62,1178,Active,2024-12-25,
P002086,S00829,Ceramic Dinner Set,Home & Kitchen,Kitchen Appliances,Nilkamal,14203.51,11218.88,1518,Inactive,2019-08-07,
P008919,S00735,Mixer Grinder Standard,Home & Kitchen,Kitchen Appliances,Cello,537.93,418.0,442,Active,2020-05-28,
P004026,S00833,Soft Plush Teddy Bear,Toys,Board Games,Fisher-Price,2369.57,1546.6,1651,Inactive,2022-03-19,
P003665,S00992,Women's Handbag,Fashion,Footwear,H&M,4327.99,2563.11,940,Active,2026-05-10,
P004125,S00856,Assorted Namkeen Pack (New Edition),Grocery,Staples,Tata,1559.92,1139.87,1474,Active,2023-02-07,
P006817,S00331,Smart Watch Fitness Tracker,Electronics,Mobiles,Boat,42572.47,33487.0,1554,Active,2020-03-03,
P004641,S00301,Men's Cotton Casual Shirt - Pack of 2,Fashion,Footwear,Generic,4559.49,2757.37,1540,Inactive,2022-11-15,
P003190,S00429,Wall Clock - Pack of 2,Home & Kitchen,Furniture,Milton,10381.91,5750.12,21,Discontinued,2020-12-03,
P000807,S00587,Herbal Health Tonic (New Edition),Health & Wellness,Medical Devices,Omron,4034.51,3205.51,1377,Active,2023-08-25,
P002793,S00265,Women's Analog Wrist Watch Standard,Fashion,Men's Clothing,Levis,413.15,262.59,397,Inactive,2025-04-05,
P003481,S00775,Jigsaw Puzzle 500 Pieces - Pack of 2,Toys,Outdoor Toys,Generic,2787.47,1787.11,304,Active,2020-09-13,
P004565,S00129,Fish Oil Omega-3 Capsules (New Edition),Health & Wellness,Personal Health,Generic,5070.59,3310.5,647,Discontinued,2022-10-14,
P009828,S00780,Cricket Bat Kashmir Willow Premium,Sports & Fitness,Outdoor Gear,Cosco,1250.19,863.71,703,Active,2024-03-27,
P000987,S00498,Badminton Racket,Sports & Fitness,Yoga,Generic,5296.23,3372.85,169,Inactive,2022-03-11,
P000562,S00293,Gaming Laptop 15.6 inch Combo,Electronics,Laptops,HP,70809.49,55380.32,944,Active,2022-09-18,
P008114,S00738,Car Phone Mount Holder Standard,Automotive,Car Care,Studds,3252.04,2460.93,1771,Active,2022-05-24,
P005700,S00620,Women's Running Shoes Premium,Fashion,Footwear,Allen Solly,1926.73,1279.59,1287,Active,2024-01-19,
P005328,S00693,Resistance Bands Set,Sports & Fitness,Outdoor Gear,Decathlon,8635.33,5171.46,1042,Discontinued,2020-06-02,
P007026,S00826,Classic Comic Collection - Pack of 2,Books,Academic,Generic,888.61,604.22,343,Active,2022-12-04,
P001589,S00818,Smartphone 128GB Storage (New Edition),Electronics,Smart Watches,Dell,2418.14,1622.63,1255,Active,2026-05-21,
P001956,S00407,Cookbook Recipes Collection (New Edition),Books,Academic,Generic,592.77,390.79,326,Active,2021-06-18,
P009130,S00699,Remote Control Car Standard,Toys,Educational Toys,Hot Wheels,1103.57,902.66,590,Active,2024-09-05,
P000627,S00743,Noise Cancelling Earbuds,Electronics,Cameras,Dell,54996.9,36047.99,580,Active,2019-10-18,
P009495,S00788,Water Gun Toy - Pack of 2,Toys,Board Games,LEGO,2310.04,1530.83,751,Active,2020-12-29,
P007464,S00105,Digital Blood Pressure Monitor Combo,Health & Wellness,Medical Devices,Patanjali,826.07,457.59,827,Active,2025-08-24,
P000278,S00269,Fish Oil Omega-3 Capsules (New Edition),Health & Wellness,Supplements,Himalaya,2022.64,1390.09,1373,Inactive,2025-05-01,
P007236,S00981,Building Blocks Set (New Edition),Toys,Board Games,Generic,2904.1,2466.06,1737,Active,2026-07-09,
P008299,S00197,Whole Wheat Atta 10kg Combo,Grocery,Personal Care,Nestle,1764.99,1313.2,1763,Active,2021-12-05,
P006239,S00896,Multigrain Cereal - Pack of 2,Grocery,Dairy,Tata,598.24,374.76,226,Active,2024-10-05,
P002083,S00795,Women's Handbag,Fashion,Watches,H&M,2355.87,1597.42,979,Active,2023-04-23,
P009813,S00998,Illustrated Children's Story Book Premium,Books,Comics,Penguin,402.62,317.54,528,Inactive,2026-01-09,
P007879,S00307,Water Gun Toy Standard,Toys,Puzzles,Fisher-Price,1322.75,1063.57,954,Active,2019-10-08,
P000273,S00146,Kids Tricycle,Toys,Action Figures,Fisher-Price,551.79,459.2,713,Active,2024-07-09,
P003111,S00979,4K Action Camera Premium,Electronics,Mobiles,Mi,5076.43,4244.81,1675,Active,2023-01-06,
P001819,S00750,Jigsaw Puzzle 500 Pieces - Pack of 2,Toys,Action Figures,Funskool,1650.89,1221.64,310,Active,2021-03-06,
P008964,S00047,Car Air Freshener Standard,Automotive,Bike Accessories,Bosch,7464.14,5204.52,336,Discontinued,2022-03-23,
P002589,S00220,LED Study Lamp Combo,Home & Kitchen,Home Decor,Bajaj,14334.77,8386.17,324,Active,2026-02-12,
P006637,S00175,Digital Blood Pressure Monitor Standard,Health & Wellness,Personal Health,Himalaya,1052.1,665.12,1864,Active,2023-06-15,
P005048,S00108,Cold Drink 2L Bottle Premium,Grocery,Snacks,Nestle,2180.87,1682.2,680,Inactive,2023-05-22,
P003702,S00174,Ayurvedic Immunity Booster Standard,Health & Wellness,Ayurveda,Himalaya,3979.29,3149.53,1628,Discontinued,2025-11-17,
P008818,S00662,Men's Leather Formal Shoes Combo,Fashion,Women's Clothing,Van Heusen,3324.83,2816.14,933,Active,2023-12-30,
P004880,S00064,Gaming Laptop 15.6 inch Standard,Electronics,Mobiles,Boat,28557.92,21245.51,1390,Active,2020-04-10,
P007053,S00769,Herbal Face Wash (New Edition),Beauty & Personal Care,Fragrances,Mamaearth,2517.2,2103.25,622,Active,2026-03-20,
P005863,S00011,Classic Comic Collection Standard,Books,Fiction,Penguin,706.55,562.57,1250,Discontinued,2023-09-21,
P006341,S00529,Women's Denim Jacket Standard,Fashion,Footwear,Generic,4199.63,3179.92,963,Active,2021-11-20,
P006107,S00593,Microfiber Car Cleaning Cloth - Pack of 2,Automotive,Tools,Bosch,4388.0,3534.45,138,Discontinued,2022-04-20,
P008265,S00879,Smartphone 128GB Storage,Electronics,Mobiles,Boat,20008.04,14964.12,1349,Active,2020-07-06,
P007124,S00561,Men's Cotton T-Shirt Combo,Fashion,Watches,Puma,1549.65,879.41,1959,Active,2022-06-24,
P005361,S00817,LED Study Lamp Standard,Home & Kitchen,Home Decor,Philips,11367.24,8073.5,806,Active,2022-12-24,
P004233,S00885,Assorted Namkeen Pack - Pack of 2,Grocery,Personal Care,Tata,1860.01,1226.09,1826,Inactive,2024-10-03,
P004552,S00161,Skipping Rope,Sports & Fitness,Fitness Equipment,SG,8179.42,5963.08,1292,Active,2026-04-08,
P004381,S00459,Men's Cotton T-Shirt Standard,Fashion,Men's Clothing,H&M,2169.19,1565.48,550,Active,2026-05-15,
P009526,S00118,Digital Weighing Scale Standard,Health & Wellness,Personal Health,Dabur,5837.74,4067.7,1282,Active,2024-09-19,
P009204,S00278,Hair Growth Serum Combo,Beauty & Personal Care,Makeup,Nivea,2378.19,1974.22,14,Active,2022-04-09,
P003428,S00806,Protein Powder Supplement Combo,Health & Wellness,Ayurveda,Dabur,5951.14,4692.4,1671,Active,2019-09-04,
P005280,S00691,Adjustable Dumbbell Set,Sports & Fitness,Fitness Equipment,Generic,3749.93,2351.26,1697,Inactive,2021-05-23,
P003187,S00448,Car Dashboard Camera Combo,Automotive,Car Care,Generic,2100.99,1580.0,1396,Active,2024-11-28,
P008458,S00237,Illustrated Children's Story Book Combo,Books,Comics,Rupa,1445.59,1104.7,1194,Active,2025-07-20,
P001966,S00033,HD Webcam,Electronics,Laptops,Noise,22555.29,13258.38,1798,Active,2019-12-04,
P001946,S00608,Digital Weighing Scale,Health & Wellness,Medical Devices,Dabur,2827.48,2241.9,642,Active,2019-06-19,
P009939,S00006,Badminton Racket Combo,Sports & Fitness,Yoga,Nivia,4718.59,3922.11,1635,Active,2025-06-30,
P004371,S00973,Men's Cotton T-Shirt Combo,Fashion,Watches,Levis,556.68,392.77,1928,Active,2023-04-25,
P004970,S00214,Digital Blood Pressure Monitor Premium,Health & Wellness,Supplements,Omron,2220.84,1695.46,1690,Inactive,2021-09-07,
P005848,S00750,Women's Handbag - Pack of 2,Fashion,Women's Clothing,Levis,2401.98,1516.53,199,Active,2024-09-26,
P004544,S00399,Classic Comic Collection,Books,Comics,Rupa,1236.3,921.9,87,Active,2024-08-13,
P004359,S00995,Pulse Oximeter Standard,Health & Wellness,Supplements,Generic,5184.88,3005.11,216,Active,2020-09-07,
P006835,S00940,Wireless Mouse Premium,Electronics,Smart Watches,Mi,25886.9,15447.63,276,Inactive,2023-01-17,
P008455,S00479,Wireless Bluetooth Headphones Standard,Electronics,Cameras,Boat,35832.27,22794.05,1801,Active,2025-10-15,
P003632,S00123,Herbal Face Wash Standard,Beauty & Personal Care,Fragrances,Mamaearth,2476.75,2030.72,830,Inactive,2022-05-15,
P001573,S00301,Bike Helmet ISI Certified Standard,Automotive,Car Accessories,Bosch,7462.81,5118.97,290,Inactive,2022-07-15,
P000499,S00715,Water Gun Toy Standard,Toys,Outdoor Toys,LEGO,1834.34,1542.43,1104,Active,2026-02-11,
P007767,S00942,Aloe Vera Gel (New Edition),Beauty & Personal Care,Fragrances,Generic,2943.34,1931.31,923,Active,2022-01-18,
P003261,S00612,Cold Pressed Groundnut Oil Standard,Grocery,Snacks,Britannia,1460.08,1123.68,776,Active,2021-02-11,
P006621,S00231,Mixed Dry Fruits Pack,Grocery,Personal Care,Fortune,117.13,70.83,72,Active,2020-08-31,
P009934,S00209,Men's Cotton T-Shirt - Pack of 2,Fashion,Footwear,Generic,2476.96,1982.38,1659,Inactive,2024-03-05,
P008313,S00729,Fish Oil Omega-3 Capsules Combo,Health & Wellness,Personal Health,Omron,3634.28,3077.97,1401,Active,2023-11-24,
P009532,S00208,Yoga Mat Anti-Slip (New Edition),Sports & Fitness,Outdoor Gear,Generic,357.29,279.29,1702,Active,2024-05-06,
P003462,S00929,Basmati Rice 5kg Premium,Grocery,Dairy,Haldiram's,216.18,158.54,209,Active,2025-08-08,
P005154,S00518,Masala Chai Tea Bags Combo,Grocery,Snacks,Nestle,2230.59,1344.07,46,Active,2022-05-16,
P007019,S00950,Bike Helmet ISI Certified (New Edition),Automotive,Tools,3M,5199.62,2954.59,1903,Inactive,2022-12-12,
P004928,S00669,Multigrain Cereal,Grocery,Dairy,Amul,33.55,21.87,1151,Active,2021-10-12,
P007427,S00317,LED Study Lamp (New Edition),Home & Kitchen,Storage,Bajaj,10172.04,6804.43,149,Active,2024-09-22,
P006073,S00158,Car Dashboard Camera (New Edition),Automotive,Car Accessories,Generic,2299.45,1908.57,923,Active,2024-02-14,
P006518,S00378,Masala Chai Tea Bags,Grocery,Beverages,Generic,1686.46,1163.87,771,Active,2026-09-06,future_created_date
P007620,S00434,Herbal Face Wash Combo,Beauty & Personal Care,Personal Hygiene,Generic,903.23,676.15,417,Active,2026-06-15,
P003967,S00428,Jigsaw Puzzle 500 Pieces,Toys,Outdoor Toys,LEGO,3309.35,2537.68,1886,Active,2023-06-24,
P002646,S00024,Noise Cancelling Earbuds Premium,Electronics,Laptops,Dell,44659.07,32738.36,789,Active,2023-04-11,
P008510,S00925,Mixed Dry Fruits Pack Premium,Grocery,Snacks,Tata,430.81,301.08,717,Active,2025-07-09,
P005920,S00217,USB Type-C Fast Charger - Pack of 2,Electronics,Mobiles,Samsung,60772.93,35479.38,1866,Discontinued,2026-05-25,
P000393,S00705,Football Size 5,Sports & Fitness,Yoga,Nivia,6644.99,5469.54,1911,Active,2022-01-16,
P005156,S00657,Digital Blood Pressure Monitor Premium,Health & Wellness,Ayurveda,Patanjali,5823.69,3485.73,140,Active,2022-01-03,
P006407,S00103,Bike Cover Waterproof Standard,Automotive,Tools,Michelin,7431.14,4509.33,291,Active,2024-07-30,
P009823,S00250,Perfume Eau De Parfum Combo,Beauty & Personal Care,Haircare,Generic,2980.54,2169.8,1871,Active,2020-11-21,
P002310,S00264,Multivitamin Tablets Standard,Health & Wellness,Personal Health,Omron,5137.0,3486.58,1590,Active,2021-07-25,
P002302,S00543,Action Figure Superhero Combo,Toys,Action Figures,Funskool,1339.71,1130.19,32,Inactive,2024-05-16,
P000026,S00322,Body Deodorant Spray Standard,Beauty & Personal Care,Makeup,Mamaearth,2233.37,1269.2,117,Active,2024-10-04,
P009041,S00796,Business Strategy Book Standard,Books,Non-Fiction,Generic,661.8,396.83,509,Active,2023-09-30,
P007507,S00012,Smartphone 128GB Storage - Pack of 2,Electronics,Mobiles,Boat,79215.16,53783.43,1876,Active,2020-08-18,
P003765,S00932,Cotton Bedsheet Set Combo,Home & Kitchen,Home Decor,Nilkamal,7287.6,4631.87,560,Active,2022-05-19,
P001150,S00306,Soft Plush Teddy Bear Standard,Toys,Outdoor Toys,Funskool,403.84,316.9,206,Active,2021-12-31,
P000947,S00541,Biography of a Historical Figure (New Edition),Books,Academic,Rupa,1160.56,774.46,1488,Active,2021-08-08,
P003733,S00593,Toor Dal 1kg Premium,Grocery,Staples,Haldiram's,105.63,88.58,1346,Active,2022-11-28,
P003441,S00745,Men's Slim Fit Jeans (New Edition),Fashion,Women's Clothing,Van Heusen,507.16,393.74,1176,Inactive,2023-12-16,
P005060,S00282,Multigrain Cereal - Pack of 2,Grocery,Personal Care,Fortune,1681.63,1151.81,721,Active,2026-03-20,
P001754,S00753,Men's Leather Formal Shoes Combo,Fashion,Women's Clothing,Generic,1105.78,789.35,1699,Active,2026-03-20,
P003986,S00085,Digital Weighing Scale - Pack of 2,Health & Wellness,Medical Devices,Generic,1211.88,1010.54,421,Active,2020-03-13,
P000396,S00047,Skipping Rope,Sports & Fitness,Outdoor Gear,Generic,1274.83,991.13,19,Inactive,2021-04-29,
P009485,S00756,Business Strategy Book (New Edition),cat123,Comics,Rupa,1455.96,960.19,1683,Active,2023-06-10,invalid_category
P005098,S00564,Kids Tricycle Combo,Toys,Educational Toys,Fisher-Price,503.14,329.7,934,Active,2025-06-08,
P002610,S00689,Science Textbook,Books,Academic,Rupa,968.21,663.66,52,Active,2025-08-03,
P009598,S00196,Herbal Face Wash Premium,Beauty & Personal Care,Fragrances,Nivea,1558.18,1029.97,211,Inactive,2021-11-25,
P006759,S00277,Electric Kettle Combo,Home & Kitchen,Cookware,Philips,9565.7,7665.36,1630,Active,2023-08-20,
P002987,S00630,Portable Bluetooth Speaker - Pack of 2,Electronics,Smart Watches,Mi,39653.16,25494.08,464,Active,2021-12-08,
P008792,S00625,Sunscreen SPF 50 Premium,Beauty & Personal Care,Skincare,Mamaearth,704.2,408.53,1930,Active,2026-03-13,
P007515,S00656,Football Size 5 (New Edition),Sports & Fitness,Sportswear,Yonex,6904.77,5656.42,1690,Inactive,2021-10-16,
P005282,S00951,Herbal Health Tonic Premium,Health & Wellness,Personal Health,HealthKart,4642.7,2989.86,1114,Active,2020-12-10,
P009296,S00880,Microfiber Car Cleaning Cloth Combo,Automotive,Car Care,Generic,1641.42,1315.72,1811,Active,2021-04-15,
P007200,S00797,USB Type-C Fast Charger - Pack of 2,Electronics,Cameras,Samsung,18640.04,10964.38,938,Discontinued,2023-08-04,
P002953,S00050,Bike Helmet ISI Certified - Pack of 2,Automotive,Bike Accessories,Generic,3888.3,2617.07,1162,Active,2022-04-06,
P003125,S00079,Microfiber Car Cleaning Cloth - Pack of 2,Automotive,Tools,Bosch,6959.49,4317.75,614,Active,2021-12-14,
P002137,S00801,Women's Denim Jacket Combo,Fashion,Watches,Biba,400.51,220.74,1219,Active,2024-12-30,
P007182,S00970,Perfume Eau De Parfum Combo,Beauty & Personal Care,Personal Hygiene,Dove,1006.27,683.02,201,Active,2026-06-03,
P003245,S00187,Plastic Storage Containers Premium,Home & Kitchen,Furniture,Milton,7002.65,5424.11,929,Inactive,2022-12-14,
P004758,S00418,Car Phone Mount Holder,Automotive,Bike Accessories,3M,1679.97,1169.27,105,Active,2022-02-25,
P008965,S00557,USB Type-C Fast Charger Premium,Electronics,Laptops,Realme,26193.93,17727.52,941,Active,2023-08-11,
P006641,S00998,Fish Oil Omega-3 Capsules,Health & Wellness,Ayurveda,Patanjali,1066.46,722.73,1491,Active,2024-01-12,
P004906,S00848,Ayurvedic Immunity Booster Premium,Health & Wellness,Medical Devices,Patanjali,362.92,243.41,198,Active,2023-10-11,
P009070,S00386,Instant Coffee Powder (New Edition),Grocery,Dairy,Tata,2133.88,1633.09,485,Active,2023-03-14,
P000533,S00749,Mixer Grinder,Home & Kitchen,Storage,Generic,8968.54,5740.92,1655,Active,2020-04-17,
P007463,S00359,Car Dashboard Camera (New Edition),Automotive,Car Accessories,Bosch,3055.12,2376.87,275,Active,2025-11-16,
P002559,S00102,Poetry Anthology Premium,Books,Comics,Penguin,1267.61,806.2,466,Inactive,2022-10-11,
P007483,S00896,Women's Handbag Combo,Fashion,Accessories,Roadster,2423.04,1390.2,1607,Active,2022-03-30,
P000087,S00119,Toor Dal 1kg Combo,Grocery,Dairy,Tata,247.51,154.87,1986,Inactive,2025-03-08,
P004977,S00162,Wireless Mouse,Electronics,Laptops,JBL,11118.46,6596.85,1134,Active,2020-10-07,
P004326,S00630,Women's Floral Printed Kurti Standard,Fashion,Accessories,Generic,4231.62,3263.77,1319,Inactive,2021-08-03,
P004982,S00288,Adjustable Dumbbell Set Combo,Sports & Fitness,Yoga,Generic,11969.44,7243.16,1831,Active,2025-03-28,
P007277,S00030,Educational Learning Tablet (New Edition),Toys,Educational Toys,Hot Wheels,3362.96,2655.26,815,Discontinued,2023-04-11,
P000620,S00087,Cold Drink 2L Bottle Standard,Grocery,Snacks,Fortune,2159.18,1409.63,1981,Active,2021-02-21,
P003157,S00237,Gaming Laptop 15.6 inch (New Edition),Electronics,Mobiles,Sony,39136.3,31468.97,1227,Active,2022-03-23,
P008644,S00820,Mixed Dry Fruits Pack Premium,Grocery,Personal Care,Fortune,1143.08,714.18,1415,Active,2022-11-15,
P005189,S00054,Plastic Storage Containers Combo,Home & Kitchen,Kitchen Appliances,Cello,6771.63,3982.76,751,Active,2026-06-10,
P005163,S00781,Cycling Helmet - Pack of 2,Sports & Fitness,Yoga,Decathlon,1413.38,931.23,1768,Active,2023-08-06,
P006887,S00494,Ayurvedic Immunity Booster Premium,Health & Wellness,Ayurveda,Generic,2332.48,1825.43,585,Inactive,2023-01-07,
P001197,S00322,Wooden Bookshelf Standard,Home & Kitchen,Cookware,Nilkamal,4245.3,3455.14,203,Active,2021-04-09,
P006963,S00029,Water Gun Toy - Pack of 2,Toys,Board Games,Fisher-Price,2265.24,1691.64,1911,Active,2022-09-27,
P005519,S00962,Car Dashboard Camera,Automotive,Car Care,Bosch,1908.14,1588.76,1659,Active,2021-12-22,
P003640,S00022,Running Track Pants - Pack of 2,Sports & Fitness,Sportswear,SG,11186.97,7389.92,1359,Active,2023-09-13,
P001648,S00593,Car Seat Cover Set Combo,Automotive,Car Care,3M,7792.37,5247.87,589,Active,2026-04-29,
P006385,S00657,Portable Bluetooth Speaker,Electronics,Accessories,Generic,78831.14,54788.45,1884,Active,2025-01-18,
P007586,S00955,Soft Plush Teddy Bear (New Edition),Toys,Educational Toys,Generic,781.29,484.91,1575,Active,2022-11-22,
P006034,S00156,Car Phone Mount Holder Premium,Automotive,Bike Accessories,Generic,1300.02,1074.75,1458,Active,2022-11-16,
P000675,S00176,Car Air Freshener Standard,Automotive,Tools,Michelin,1141.57,898.19,1616,Active,2024-11-04,
P008292,S00168,Women's Denim Jacket Combo,Fashion,Men's Clothing,Roadster,4872.49,4129.64,1686,Active,2024-02-26,
P006748,S00782,Portable Bluetooth Speaker Premium,Electronics,Headphones,Boat,13540.12,10954.17,252,Active,2021-03-29,
P003217,S00802,Perfume Eau De Parfum Standard,Beauty & Personal Care,Fragrances,Nivea,1788.52,1311.91,1930,Active,2022-09-30,
P000450,S00665,Tyre Inflator Pump Combo,Automotive,Car Care,Studds,7064.14,3969.84,663,Active,2025-04-05,
P005651,S00329,Bike Helmet ISI Certified,Automotive,Bike Accessories,Studds,7703.6,5336.65,850,Inactive,2019-08-10,
P003552,S00530,Kids Tricycle - Pack of 2,Toys,Puzzles,Generic,3241.37,2004.46,1723,Inactive,2024-08-07,
P003139,S00660,Herbal Face Wash,Beauty & Personal Care,Skincare,Mamaearth,2989.7,2184.78,680,Active,2020-06-22,
P007944,S00781,Poetry Anthology Standard,Books,Academic,Scholastic,1471.44,1171.08,1072,Active,2022-08-19,
P005563,S00996,Men's Slim Fit Jeans,Fashion,Women's Clothing,Levis,2180.42,1817.0,967,Active,2024-08-26,
P007857,S00630,Football Size 5 Premium,Sports & Fitness,Fitness Equipment,Generic,8150.63,4500.49,1905,Active,2025-11-04,
P009831,S00138,Football Size 5 Standard,Sports & Fitness,Sportswear,Generic,6780.53,4596.79,410,Active,2020-01-24,
P007591,S00481,Educational Learning Tablet,Toys,Board Games,Fisher-Price,3943.57,2270.98,908,Active,2023-07-15,
P003416,S00340,Business Strategy Book Premium,Books,Academic,Penguin,1058.61,591.72,23,Active,2024-04-14,
P006376,S00920,Matte Lipstick,Beauty & Personal Care,Personal Hygiene,Mamaearth,1559.98,1070.38,1543,Active,2023-09-21,
P000522,S00227,Poetry Anthology Premium,Books,Children's Books,Generic,926.01,522.94,1240,Active,2019-07-24,
P007537,S00744,Self-Help Motivational Book Combo,Books,Comics,Scholastic,366.98,249.0,28,Active,2026-03-30,
P007793,S00087,Camping Tent 2-Person - Pack of 2,Sports & Fitness,Yoga,Nivia,4154.76,2714.28,1998,Active,2024-08-02,
P009917,S00153,Men's Cotton T-Shirt Combo,Fashion,Women's Clothing,Puma,1202.67,-794.21,179,Inactive,2023-06-03,invalid_cost_price
P002654,S00276,Science Textbook Premium,Books,Comics,HarperCollins,957.63,640.97,617,Active,2025-01-03,
P006012,S00558,Smart Watch Fitness Tracker - Pack of 2,Electronics,Laptops,Realme,24945.74,17677.58,1775,Discontinued,2024-12-05,
P000916,S00907,Camping Tent 2-Person Premium,Sports & Fitness,Yoga,Cosco,11852.12,6771.95,79,Discontinued,2020-10-22,
P004054,S00322,Ayurvedic Immunity Booster Standard,Health & Wellness,Ayurveda,Generic,1767.14,1409.66,1156,Active,2026-06-03,
P004681,S00538,Bike Cover Waterproof Standard,Automotive,Car Accessories,Generic,7494.19,5836.16,140,Active,2019-06-15,
P004768,S00558,Water Gun Toy Combo,Toys,Board Games,LEGO,823.88,654.89,1324,Discontinued,2024-03-09,
P000805,S00964,Gaming Laptop 15.6 inch (New Edition),Electronics,Headphones,Dell,10342.26,8035.6,255,Active,2025-10-31,
